00:58:43 - 来自: main.py:1732 - <module>                        | 调用函数            | __main__.__init__                        | 参数: {'self': '<__main__.MaYun object at 0x0000022064BFCF70>'}
01:07:33 -         来自: main.py:658 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'sure', 'pos': '(560, 405, 256, 127)', 'click': 'True'}
01:07:33 -         来自: main.py:658 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
01:07:33 -         来自: main.py:661 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'tuijian', 'pos': '(648, 413, 194, 88)', 'click': 'True'}
01:07:33 -         来自: main.py:661 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
01:07:33 -         来自: main.py:664 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'good', 'pos': '(385, 532, 194, 78)', 'click': 'True'}
01:07:33 -         来自: main.py:664 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
01:07:33 -         来自: main.py:667 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'zhidao', 'pos': '(527, 482, 199, 83)', 'click': 'True'}
01:07:33 -         来自: main.py:667 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
01:07:33 -         来自: main.py:670 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'chacha', 'pos': '(920, 57, 266, 204)', 'click': 'True'}
01:07:33 -         来自: main.py:670 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
01:07:33 -         来自: main.py:673 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'quick_start', 'pos': '(831, 595, 219, 87)', 'click': 'True'}
01:07:33 -         来自: main.py:673 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
01:07:33 -         来自: main.py:751 - before_start                     | 调用函数            | __main__.find_my_cards                   | 参数: {'self': '<__main__.Worker object at 0x00000220665E2550>'}
01:07:33 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(108, 30, 1121, 82), (107, 31, 1121, 82), (108, 31, 1121, 82)]', 'distance': '25'}
01:07:33 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(108, 30, 1121, 82)])
01:07:33 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(158, 27, 1121, 82), (157, 28, 1121, 82), (158, 28, 1121, 82), (159, 28, 1121, 82), (157, 29, 1121, 82), (158, 29, 1121, 82), (159, 29, 1121, 82), (157, 30, 1121, 82), (158, 30, 1121, 82), (159, 30, 1121, 82), (157, 31, 1121, 82), (158, 31, 1121, 82), (159, 31, 1121, 82), (158, 32, 1121, 82)]', 'distance': '25'}
01:07:33 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(158, 27, 1121, 82)])
01:07:33 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(209, 28, 1121, 82), (208, 29, 1121, 82), (209, 29, 1121, 82), (210, 29, 1121, 82), (208, 30, 1121, 82), (209, 30, 1121, 82), (210, 30, 1121, 82)]', 'distance': '25'}
01:07:33 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(209, 28, 1121, 82)])
01:07:33 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(259, 30, 1121, 82), (259, 31, 1121, 82), (259, 32, 1121, 82)]', 'distance': '25'}
01:07:33 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(259, 30, 1121, 82)])
01:07:33 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(310, 28, 1121, 82), (311, 28, 1121, 82), (360, 28, 1121, 82), (361, 28, 1121, 82), (309, 29, 1121, 82), (310, 29, 1121, 82), (311, 29, 1121, 82), (360, 29, 1121, 82), (361, 29, 1121, 82), (362, 29, 1121, 82), (309, 30, 1121, 82), (310, 30, 1121, 82), (311, 30, 1121, 82), (359, 30, 1121, 82), (360, 30, 1121, 82), (361, 30, 1121, 82), (362, 30, 1121, 82), (309, 31, 1121, 82), (310, 31, 1121, 82), (311, 31, 1121, 82), (360, 31, 1121, 82), (361, 31, 1121, 82), (362, 31, 1121, 82), (310, 32, 1121, 82), (360, 32, 1121, 82), (361, 32, 1121, 82)]', 'distance': '25'}
01:07:33 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(310, 28, 1121, 82), (360, 28, 1121, 82)])
01:07:33 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(411, 28, 1121, 82), (410, 29, 1121, 82), (411, 29, 1121, 82), (410, 30, 1121, 82), (411, 30, 1121, 82), (410, 31, 1121, 82), (411, 31, 1121, 82), (410, 32, 1121, 82), (411, 32, 1121, 82), (410, 33, 1121, 82), (411, 33, 1121, 82)]', 'distance': '25'}
01:07:33 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(411, 28, 1121, 82)])
01:07:33 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(512, 30, 1121, 82), (513, 30, 1121, 82), (514, 30, 1121, 82), (462, 31, 1121, 82), (463, 31, 1121, 82), (512, 31, 1121, 82), (513, 31, 1121, 82), (514, 31, 1121, 82), (512, 32, 1121, 82), (513, 32, 1121, 82), (514, 32, 1121, 82)]', 'distance': '25'}
01:07:33 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(512, 30, 1121, 82), (462, 31, 1121, 82)])
01:07:33 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(612, 30, 1121, 82), (613, 30, 1121, 82), (614, 30, 1121, 82), (562, 31, 1121, 82), (563, 31, 1121, 82), (612, 31, 1121, 82), (613, 31, 1121, 82), (614, 31, 1121, 82), (612, 32, 1121, 82), (613, 32, 1121, 82), (614, 32, 1121, 82)]', 'distance': '25'}
01:07:33 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(612, 30, 1121, 82), (562, 31, 1121, 82)])
01:07:33 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(665, 30, 1121, 82), (664, 31, 1121, 82), (665, 31, 1121, 82), (664, 32, 1121, 82)]', 'distance': '25'}
01:07:33 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(665, 30, 1121, 82)])
01:07:33 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(715, 29, 1121, 82), (714, 30, 1121, 82), (715, 30, 1121, 82), (715, 31, 1121, 82)]', 'distance': '25'}
01:07:33 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(715, 29, 1121, 82)])
01:07:33 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(765, 28, 1121, 82), (766, 28, 1121, 82), (767, 28, 1121, 82), (764, 29, 1121, 82), (765, 29, 1121, 82), (766, 29, 1121, 82), (767, 29, 1121, 82), (765, 30, 1121, 82), (766, 30, 1121, 82), (767, 30, 1121, 82)]', 'distance': '25'}
01:07:33 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(765, 28, 1121, 82)])
01:07:33 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(815, 30, 1121, 82), (816, 30, 1121, 82), (815, 31, 1121, 82), (816, 31, 1121, 82), (815, 32, 1121, 82)]', 'distance': '25'}
01:07:33 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(815, 30, 1121, 82)])
01:07:33 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(865, 30, 1121, 82), (866, 30, 1121, 82), (867, 30, 1121, 82), (865, 31, 1121, 82), (866, 31, 1121, 82), (867, 31, 1121, 82), (868, 31, 1121, 82), (916, 31, 1121, 82), (917, 31, 1121, 82), (865, 32, 1121, 82), (866, 32, 1121, 82), (867, 32, 1121, 82)]', 'distance': '25'}
01:07:33 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(865, 30, 1121, 82), (916, 31, 1121, 82)])
01:07:33 -         来自: main.py:751 - before_start                     | 函数返回            | __main__.find_my_cards                   | 返回值: 2AKQJJT9988765433
01:07:33 -         来自: main.py:808 - before_start                     | 调用函数            | __main__.find_pic                        | 参数: {'path': 'jiao_btn', 'pos': '(214, 380, 791, 93)', 'click': 'False'}
01:07:33 -         来自: main.py:808 - before_start                     | 函数返回            | __main__.find_pic                        | 返回值: None
01:07:33 -         来自: main.py:827 - before_start                     | 调用函数            | __main__.find_pic                        | 参数: {'path': 'qiang_btn', 'pos': '(214, 380, 791, 93)', 'click': 'False'}
01:07:33 -         来自: main.py:827 - before_start                     | 函数返回            | __main__.find_pic                        | 返回值: None
01:07:34 -         来自: main.py:646 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'continue', 'pos': '(545, 503, 170, 60)', 'click': 'True'}
01:07:34 -         来自: main.py:646 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
01:07:34 -         来自: main.py:649 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'reward', 'pos': '(521, 506, 199, 76)', 'click': 'True'}
01:07:34 -         来自: main.py:649 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
01:07:34 -         来自: main.py:652 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'start_game', 'pos': '(201, 260, 840, 74)', 'click': 'True'}
01:07:34 -         来自: main.py:652 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
01:07:34 -         来自: main.py:655 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'tuoguan', 'pos': '(485, 620, 269, 92)', 'click': 'True'}
01:07:34 -         来自: main.py:655 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
01:07:34 -         来自: main.py:658 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'sure', 'pos': '(560, 405, 256, 127)', 'click': 'True'}
01:07:34 -         来自: main.py:658 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
01:07:34 -         来自: main.py:661 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'tuijian', 'pos': '(648, 413, 194, 88)', 'click': 'True'}
01:07:34 -         来自: main.py:661 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
01:07:34 -         来自: main.py:664 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'good', 'pos': '(385, 532, 194, 78)', 'click': 'True'}
01:07:34 -         来自: main.py:664 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
01:07:34 -         来自: main.py:667 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'zhidao', 'pos': '(527, 482, 199, 83)', 'click': 'True'}
01:07:34 -         来自: main.py:667 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
01:07:34 -         来自: main.py:670 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'chacha', 'pos': '(920, 57, 266, 204)', 'click': 'True'}
01:07:34 -         来自: main.py:670 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
01:07:34 -         来自: main.py:673 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'quick_start', 'pos': '(831, 595, 219, 87)', 'click': 'True'}
01:07:34 -         来自: main.py:673 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
01:07:34 -         来自: main.py:751 - before_start                     | 调用函数            | __main__.find_my_cards                   | 参数: {'self': '<__main__.Worker object at 0x00000220665E2550>'}
01:07:34 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(108, 30, 1121, 82), (107, 31, 1121, 82), (108, 31, 1121, 82)]', 'distance': '25'}
01:07:34 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(108, 30, 1121, 82)])
01:07:34 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(158, 27, 1121, 82), (157, 28, 1121, 82), (158, 28, 1121, 82), (159, 28, 1121, 82), (157, 29, 1121, 82), (158, 29, 1121, 82), (159, 29, 1121, 82), (157, 30, 1121, 82), (158, 30, 1121, 82), (159, 30, 1121, 82), (157, 31, 1121, 82), (158, 31, 1121, 82), (159, 31, 1121, 82), (158, 32, 1121, 82)]', 'distance': '25'}
01:07:34 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(158, 27, 1121, 82)])
01:07:34 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(209, 28, 1121, 82), (208, 29, 1121, 82), (209, 29, 1121, 82), (210, 29, 1121, 82), (208, 30, 1121, 82), (209, 30, 1121, 82), (210, 30, 1121, 82)]', 'distance': '25'}
01:07:34 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(209, 28, 1121, 82)])
01:07:34 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(259, 30, 1121, 82), (259, 31, 1121, 82), (259, 32, 1121, 82)]', 'distance': '25'}
01:07:34 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(259, 30, 1121, 82)])
01:07:34 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(310, 28, 1121, 82), (311, 28, 1121, 82), (360, 28, 1121, 82), (361, 28, 1121, 82), (309, 29, 1121, 82), (310, 29, 1121, 82), (311, 29, 1121, 82), (360, 29, 1121, 82), (361, 29, 1121, 82), (362, 29, 1121, 82), (309, 30, 1121, 82), (310, 30, 1121, 82), (311, 30, 1121, 82), (359, 30, 1121, 82), (360, 30, 1121, 82), (361, 30, 1121, 82), (362, 30, 1121, 82), (309, 31, 1121, 82), (310, 31, 1121, 82), (311, 31, 1121, 82), (360, 31, 1121, 82), (361, 31, 1121, 82), (362, 31, 1121, 82), (310, 32, 1121, 82), (360, 32, 1121, 82), (361, 32, 1121, 82)]', 'distance': '25'}
01:07:34 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(310, 28, 1121, 82), (360, 28, 1121, 82)])
01:07:34 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(411, 28, 1121, 82), (410, 29, 1121, 82), (411, 29, 1121, 82), (410, 30, 1121, 82), (411, 30, 1121, 82), (410, 31, 1121, 82), (411, 31, 1121, 82), (410, 32, 1121, 82), (411, 32, 1121, 82), (410, 33, 1121, 82), (411, 33, 1121, 82)]', 'distance': '25'}
01:07:34 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(411, 28, 1121, 82)])
01:07:34 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(512, 30, 1121, 82), (513, 30, 1121, 82), (514, 30, 1121, 82), (462, 31, 1121, 82), (463, 31, 1121, 82), (512, 31, 1121, 82), (513, 31, 1121, 82), (514, 31, 1121, 82), (512, 32, 1121, 82), (513, 32, 1121, 82), (514, 32, 1121, 82)]', 'distance': '25'}
01:07:34 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(512, 30, 1121, 82), (462, 31, 1121, 82)])
01:07:34 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(612, 30, 1121, 82), (613, 30, 1121, 82), (614, 30, 1121, 82), (562, 31, 1121, 82), (563, 31, 1121, 82), (612, 31, 1121, 82), (613, 31, 1121, 82), (614, 31, 1121, 82), (612, 32, 1121, 82), (613, 32, 1121, 82), (614, 32, 1121, 82)]', 'distance': '25'}
01:07:34 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(612, 30, 1121, 82), (562, 31, 1121, 82)])
01:07:34 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(665, 30, 1121, 82), (664, 31, 1121, 82), (665, 31, 1121, 82), (664, 32, 1121, 82)]', 'distance': '25'}
01:07:34 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(665, 30, 1121, 82)])
01:07:34 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(715, 29, 1121, 82), (714, 30, 1121, 82), (715, 30, 1121, 82), (715, 31, 1121, 82)]', 'distance': '25'}
01:07:34 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(715, 29, 1121, 82)])
01:07:34 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(765, 28, 1121, 82), (766, 28, 1121, 82), (767, 28, 1121, 82), (764, 29, 1121, 82), (765, 29, 1121, 82), (766, 29, 1121, 82), (767, 29, 1121, 82), (765, 30, 1121, 82), (766, 30, 1121, 82), (767, 30, 1121, 82)]', 'distance': '25'}
01:07:34 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(765, 28, 1121, 82)])
01:07:34 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(815, 30, 1121, 82), (816, 30, 1121, 82), (815, 31, 1121, 82), (816, 31, 1121, 82), (815, 32, 1121, 82)]', 'distance': '25'}
01:07:34 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(815, 30, 1121, 82)])
01:07:34 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(865, 30, 1121, 82), (866, 30, 1121, 82), (867, 30, 1121, 82), (865, 31, 1121, 82), (866, 31, 1121, 82), (867, 31, 1121, 82), (868, 31, 1121, 82), (916, 31, 1121, 82), (917, 31, 1121, 82), (865, 32, 1121, 82), (866, 32, 1121, 82), (867, 32, 1121, 82)]', 'distance': '25'}
01:07:34 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(865, 30, 1121, 82), (916, 31, 1121, 82)])
01:07:34 -         来自: main.py:751 - before_start                     | 函数返回            | __main__.find_my_cards                   | 返回值: 2AKQJJT9988765433
01:07:34 -         来自: main.py:808 - before_start                     | 调用函数            | __main__.find_pic                        | 参数: {'path': 'jiao_btn', 'pos': '(214, 380, 791, 93)', 'click': 'False'}
01:07:34 -         来自: main.py:808 - before_start                     | 函数返回            | __main__.find_pic                        | 返回值: None
01:07:34 -         来自: main.py:827 - before_start                     | 调用函数            | __main__.find_pic                        | 参数: {'path': 'qiang_btn', 'pos': '(214, 380, 791, 93)', 'click': 'False'}
01:07:34 -         来自: main.py:827 - before_start                     | 函数返回            | __main__.find_pic                        | 返回值: None
01:07:35 -         来自: main.py:646 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'continue', 'pos': '(545, 503, 170, 60)', 'click': 'True'}
01:07:35 -         来自: main.py:646 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
01:07:35 -         来自: main.py:649 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'reward', 'pos': '(521, 506, 199, 76)', 'click': 'True'}
01:07:35 -         来自: main.py:649 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
01:07:35 -         来自: main.py:652 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'start_game', 'pos': '(201, 260, 840, 74)', 'click': 'True'}
01:07:35 -         来自: main.py:652 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
01:07:35 -         来自: main.py:655 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'tuoguan', 'pos': '(485, 620, 269, 92)', 'click': 'True'}
01:07:35 -         来自: main.py:655 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
01:07:35 -         来自: main.py:658 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'sure', 'pos': '(560, 405, 256, 127)', 'click': 'True'}
01:07:35 -         来自: main.py:658 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
01:07:35 -         来自: main.py:661 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'tuijian', 'pos': '(648, 413, 194, 88)', 'click': 'True'}
01:07:35 -         来自: main.py:661 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
01:07:35 -         来自: main.py:664 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'good', 'pos': '(385, 532, 194, 78)', 'click': 'True'}
01:07:35 -         来自: main.py:664 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
01:07:35 -         来自: main.py:667 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'zhidao', 'pos': '(527, 482, 199, 83)', 'click': 'True'}
01:07:35 -         来自: main.py:667 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
01:07:35 -         来自: main.py:670 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'chacha', 'pos': '(920, 57, 266, 204)', 'click': 'True'}
01:07:35 -         来自: main.py:670 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
01:07:35 -         来自: main.py:673 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'quick_start', 'pos': '(831, 595, 219, 87)', 'click': 'True'}
01:07:35 -         来自: main.py:673 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
01:07:35 -         来自: main.py:751 - before_start                     | 调用函数            | __main__.find_my_cards                   | 参数: {'self': '<__main__.Worker object at 0x00000220665E2550>'}
01:07:35 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(108, 30, 1121, 82), (107, 31, 1121, 82), (108, 31, 1121, 82)]', 'distance': '25'}
01:07:35 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(108, 30, 1121, 82)])
01:07:35 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(158, 27, 1121, 82), (157, 28, 1121, 82), (158, 28, 1121, 82), (159, 28, 1121, 82), (157, 29, 1121, 82), (158, 29, 1121, 82), (159, 29, 1121, 82), (157, 30, 1121, 82), (158, 30, 1121, 82), (159, 30, 1121, 82), (157, 31, 1121, 82), (158, 31, 1121, 82), (159, 31, 1121, 82), (158, 32, 1121, 82)]', 'distance': '25'}
01:07:35 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(158, 27, 1121, 82)])
01:07:35 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(209, 28, 1121, 82), (208, 29, 1121, 82), (209, 29, 1121, 82), (210, 29, 1121, 82), (208, 30, 1121, 82), (209, 30, 1121, 82), (210, 30, 1121, 82)]', 'distance': '25'}
01:07:35 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(209, 28, 1121, 82)])
01:07:35 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(259, 30, 1121, 82), (259, 31, 1121, 82), (259, 32, 1121, 82)]', 'distance': '25'}
01:07:35 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(259, 30, 1121, 82)])
01:07:35 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(310, 28, 1121, 82), (311, 28, 1121, 82), (360, 28, 1121, 82), (361, 28, 1121, 82), (309, 29, 1121, 82), (310, 29, 1121, 82), (311, 29, 1121, 82), (360, 29, 1121, 82), (361, 29, 1121, 82), (362, 29, 1121, 82), (309, 30, 1121, 82), (310, 30, 1121, 82), (311, 30, 1121, 82), (359, 30, 1121, 82), (360, 30, 1121, 82), (361, 30, 1121, 82), (362, 30, 1121, 82), (309, 31, 1121, 82), (310, 31, 1121, 82), (311, 31, 1121, 82), (360, 31, 1121, 82), (361, 31, 1121, 82), (362, 31, 1121, 82), (310, 32, 1121, 82), (360, 32, 1121, 82), (361, 32, 1121, 82)]', 'distance': '25'}
01:07:35 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(310, 28, 1121, 82), (360, 28, 1121, 82)])
01:07:35 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(411, 28, 1121, 82), (410, 29, 1121, 82), (411, 29, 1121, 82), (410, 30, 1121, 82), (411, 30, 1121, 82), (410, 31, 1121, 82), (411, 31, 1121, 82), (410, 32, 1121, 82), (411, 32, 1121, 82), (410, 33, 1121, 82), (411, 33, 1121, 82)]', 'distance': '25'}
01:07:35 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(411, 28, 1121, 82)])
01:07:35 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(512, 30, 1121, 82), (513, 30, 1121, 82), (514, 30, 1121, 82), (462, 31, 1121, 82), (463, 31, 1121, 82), (512, 31, 1121, 82), (513, 31, 1121, 82), (514, 31, 1121, 82), (512, 32, 1121, 82), (513, 32, 1121, 82), (514, 32, 1121, 82)]', 'distance': '25'}
01:07:35 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(512, 30, 1121, 82), (462, 31, 1121, 82)])
01:07:35 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(612, 30, 1121, 82), (613, 30, 1121, 82), (614, 30, 1121, 82), (562, 31, 1121, 82), (563, 31, 1121, 82), (612, 31, 1121, 82), (613, 31, 1121, 82), (614, 31, 1121, 82), (612, 32, 1121, 82), (613, 32, 1121, 82), (614, 32, 1121, 82)]', 'distance': '25'}
01:07:35 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(612, 30, 1121, 82), (562, 31, 1121, 82)])
01:07:35 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(665, 30, 1121, 82), (664, 31, 1121, 82), (665, 31, 1121, 82), (664, 32, 1121, 82)]', 'distance': '25'}
01:07:35 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(665, 30, 1121, 82)])
01:07:35 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(715, 29, 1121, 82), (714, 30, 1121, 82), (715, 30, 1121, 82), (715, 31, 1121, 82)]', 'distance': '25'}
