19:05:52 - 来自: main.py:1762 - <module>                        | 调用函数            | __main__.__init__                        | 参数: {'self': '<__main__.MaYun object at 0x00000259973C3EE0>'}
19:05:57 -         来自: main.py:677 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'continue', 'pos': '(545, 503, 170, 60)', 'click': 'True'}
19:05:57 -         来自: main.py:677 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: (563, 513)
19:05:58 -         来自: main.py:680 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'reward', 'pos': '(521, 506, 199, 76)', 'click': 'True'}
19:05:58 -         来自: main.py:680 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:05:58 -         来自: main.py:683 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'start_game', 'pos': '(201, 260, 840, 74)', 'click': 'True'}
19:05:58 -         来自: main.py:683 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:05:58 -         来自: main.py:686 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'tuoguan', 'pos': '(485, 620, 269, 92)', 'click': 'True'}
19:05:58 -         来自: main.py:686 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:05:58 -         来自: main.py:689 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'sure', 'pos': '(560, 405, 256, 127)', 'click': 'True'}
19:05:58 -         来自: main.py:689 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:05:58 -         来自: main.py:692 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'tuijian', 'pos': '(648, 413, 194, 88)', 'click': 'True'}
19:05:58 -         来自: main.py:692 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:05:58 -         来自: main.py:695 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'good', 'pos': '(385, 532, 194, 78)', 'click': 'True'}
19:05:58 -         来自: main.py:695 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:05:58 -         来自: main.py:698 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'zhidao', 'pos': '(527, 482, 199, 83)', 'click': 'True'}
19:05:59 -         来自: main.py:698 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:05:59 -         来自: main.py:701 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'chacha', 'pos': '(920, 57, 266, 204)', 'click': 'True'}
19:05:59 -         来自: main.py:701 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:05:59 -         来自: main.py:704 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'quick_start', 'pos': '(831, 595, 219, 87)', 'click': 'True'}
19:05:59 -         来自: main.py:704 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:05:59 -         来自: main.py:724 - before_start                     | 调用函数            | __main__.find_my_cards                   | 参数: {'self': '<__main__.Worker object at 0x0000025998DA84C0>'}
19:05:59 -         来自: main.py:724 - before_start                     | 函数返回            | __main__.find_my_cards                   | 返回值: 
19:05:59 -         来自: main.py:677 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'continue', 'pos': '(545, 503, 170, 60)', 'click': 'True'}
19:05:59 -         来自: main.py:677 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:05:59 -         来自: main.py:680 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'reward', 'pos': '(521, 506, 199, 76)', 'click': 'True'}
19:05:59 -         来自: main.py:680 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:05:59 -         来自: main.py:683 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'start_game', 'pos': '(201, 260, 840, 74)', 'click': 'True'}
19:05:59 -         来自: main.py:683 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:05:59 -         来自: main.py:686 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'tuoguan', 'pos': '(485, 620, 269, 92)', 'click': 'True'}
19:05:59 -         来自: main.py:686 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:05:59 -         来自: main.py:689 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'sure', 'pos': '(560, 405, 256, 127)', 'click': 'True'}
19:06:00 -         来自: main.py:689 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:06:00 -         来自: main.py:692 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'tuijian', 'pos': '(648, 413, 194, 88)', 'click': 'True'}
19:06:00 -         来自: main.py:692 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:06:00 -         来自: main.py:695 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'good', 'pos': '(385, 532, 194, 78)', 'click': 'True'}
19:06:00 -         来自: main.py:695 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:06:00 -         来自: main.py:698 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'zhidao', 'pos': '(527, 482, 199, 83)', 'click': 'True'}
19:06:00 -         来自: main.py:698 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:06:00 -         来自: main.py:701 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'chacha', 'pos': '(920, 57, 266, 204)', 'click': 'True'}
19:06:00 -         来自: main.py:701 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:06:00 -         来自: main.py:704 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'quick_start', 'pos': '(831, 595, 219, 87)', 'click': 'True'}
19:06:00 -         来自: main.py:704 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:06:00 -         来自: main.py:724 - before_start                     | 调用函数            | __main__.find_my_cards                   | 参数: {'self': '<__main__.Worker object at 0x0000025998DA84C0>'}
19:06:00 -         来自: main.py:724 - before_start                     | 函数返回            | __main__.find_my_cards                   | 返回值: 
19:06:00 -         来自: main.py:677 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'continue', 'pos': '(545, 503, 170, 60)', 'click': 'True'}
19:06:00 -         来自: main.py:677 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:06:00 -         来自: main.py:680 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'reward', 'pos': '(521, 506, 199, 76)', 'click': 'True'}
19:06:00 -         来自: main.py:680 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:06:00 -         来自: main.py:683 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'start_game', 'pos': '(201, 260, 840, 74)', 'click': 'True'}
19:06:01 -         来自: main.py:683 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:06:01 -         来自: main.py:686 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'tuoguan', 'pos': '(485, 620, 269, 92)', 'click': 'True'}
19:06:01 -         来自: main.py:686 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:06:01 -         来自: main.py:689 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'sure', 'pos': '(560, 405, 256, 127)', 'click': 'True'}
19:06:01 -         来自: main.py:689 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:06:01 -         来自: main.py:692 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'tuijian', 'pos': '(648, 413, 194, 88)', 'click': 'True'}
19:06:01 -         来自: main.py:692 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:06:01 -         来自: main.py:695 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'good', 'pos': '(385, 532, 194, 78)', 'click': 'True'}
19:06:01 -         来自: main.py:695 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:06:01 -         来自: main.py:698 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'zhidao', 'pos': '(527, 482, 199, 83)', 'click': 'True'}
19:06:01 -         来自: main.py:698 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:06:01 -         来自: main.py:701 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'chacha', 'pos': '(920, 57, 266, 204)', 'click': 'True'}
19:06:01 -         来自: main.py:701 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:06:01 -         来自: main.py:704 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'quick_start', 'pos': '(831, 595, 219, 87)', 'click': 'True'}
19:06:01 -         来自: main.py:704 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:06:01 -         来自: main.py:724 - before_start                     | 调用函数            | __main__.find_my_cards                   | 参数: {'self': '<__main__.Worker object at 0x0000025998DA84C0>'}
19:06:01 -         来自: main.py:724 - before_start                     | 函数返回            | __main__.find_my_cards                   | 返回值: 
19:06:02 -         来自: main.py:677 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'continue', 'pos': '(545, 503, 170, 60)', 'click': 'True'}
19:06:02 -         来自: main.py:677 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:06:02 -         来自: main.py:680 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'reward', 'pos': '(521, 506, 199, 76)', 'click': 'True'}
19:06:02 -         来自: main.py:680 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:06:02 -         来自: main.py:683 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'start_game', 'pos': '(201, 260, 840, 74)', 'click': 'True'}
19:06:02 -         来自: main.py:683 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:06:02 -         来自: main.py:686 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'tuoguan', 'pos': '(485, 620, 269, 92)', 'click': 'True'}
19:06:02 -         来自: main.py:686 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:06:02 -         来自: main.py:689 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'sure', 'pos': '(560, 405, 256, 127)', 'click': 'True'}
19:06:02 -         来自: main.py:689 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:06:02 -         来自: main.py:692 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'tuijian', 'pos': '(648, 413, 194, 88)', 'click': 'True'}
19:06:02 -         来自: main.py:692 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:06:02 -         来自: main.py:695 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'good', 'pos': '(385, 532, 194, 78)', 'click': 'True'}
19:06:02 -         来自: main.py:695 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:06:02 -         来自: main.py:698 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'zhidao', 'pos': '(527, 482, 199, 83)', 'click': 'True'}
19:06:02 -         来自: main.py:698 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:06:02 -         来自: main.py:701 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'chacha', 'pos': '(920, 57, 266, 204)', 'click': 'True'}
19:06:02 -         来自: main.py:701 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:06:02 -         来自: main.py:704 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'quick_start', 'pos': '(831, 595, 219, 87)', 'click': 'True'}
19:06:02 -         来自: main.py:704 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:06:02 -         来自: main.py:724 - before_start                     | 调用函数            | __main__.find_my_cards                   | 参数: {'self': '<__main__.Worker object at 0x0000025998DA84C0>'}
19:06:02 -             来自: main.py:388 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(585, 26, 1121, 82), (584, 27, 1121, 82), (585, 27, 1121, 82), (585, 28, 1121, 82)]', 'distance': '25'}
19:06:02 -             来自: main.py:388 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(585, 26, 1121, 82)])
19:06:02 -             来自: main.py:388 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(587, 27, 1121, 82), (588, 27, 1121, 82), (586, 28, 1121, 82), (587, 28, 1121, 82), (588, 28, 1121, 82), (587, 29, 1121, 82), (588, 29, 1121, 82)]', 'distance': '25'}
19:06:02 -             来自: main.py:388 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(587, 27, 1121, 82)])
19:06:02 -             来自: main.py:388 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(235, 29, 1121, 82), (234, 30, 1121, 82), (235, 30, 1121, 82), (236, 30, 1121, 82), (336, 30, 1121, 82), (689, 30, 1121, 82), (690, 30, 1121, 82), (691, 30, 1121, 82), (233, 31, 1121, 82), (234, 31, 1121, 82), (235, 31, 1121, 82), (236, 31, 1121, 82), (335, 31, 1121, 82), (336, 31, 1121, 82), (688, 31, 1121, 82), (689, 31, 1121, 82), (690, 31, 1121, 82), (691, 31, 1121, 82), (233, 32, 1121, 82), (234, 32, 1121, 82), (235, 32, 1121, 82), (335, 32, 1121, 82), (688, 32, 1121, 82), (689, 32, 1121, 82), (690, 32, 1121, 82)]', 'distance': '25'}
19:06:02 -             来自: main.py:388 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (3, [(235, 29, 1121, 82), (336, 30, 1121, 82), (689, 30, 1121, 82)])
19:06:02 -             来自: main.py:388 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(537, 29, 1121, 82), (538, 29, 1121, 82), (537, 30, 1121, 82), (538, 30, 1121, 82), (537, 31, 1121, 82)]', 'distance': '25'}
19:06:02 -             来自: main.py:388 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(537, 29, 1121, 82)])
19:06:02 -             来自: main.py:388 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(740, 29, 1121, 82), (739, 30, 1121, 82), (740, 30, 1121, 82)]', 'distance': '25'}
19:06:02 -             来自: main.py:388 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(740, 29, 1121, 82)])
19:06:02 -             来自: main.py:388 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(436, 28, 1121, 82), (437, 28, 1121, 82), (436, 29, 1121, 82), (437, 29, 1121, 82), (435, 30, 1121, 82), (436, 30, 1121, 82), (437, 30, 1121, 82), (438, 30, 1121, 82), (436, 31, 1121, 82), (437, 31, 1121, 82), (436, 32, 1121, 82), (437, 32, 1121, 82)]', 'distance': '25'}
19:06:02 -             来自: main.py:388 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(436, 28, 1121, 82)])
19:06:02 -             来自: main.py:388 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(486, 31, 1121, 82), (487, 31, 1121, 82), (487, 32, 1121, 82)]', 'distance': '25'}
19:06:02 -             来自: main.py:388 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(486, 31, 1121, 82)])
19:06:02 -             来自: main.py:388 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(386, 29, 1121, 82), (387, 29, 1121, 82), (385, 30, 1121, 82), (386, 30, 1121, 82), (387, 30, 1121, 82), (385, 31, 1121, 82), (386, 31, 1121, 82), (387, 31, 1121, 82), (385, 32, 1121, 82), (386, 32, 1121, 82), (387, 32, 1121, 82), (385, 33, 1121, 82), (386, 33, 1121, 82)]', 'distance': '25'}
19:06:02 -             来自: main.py:388 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(386, 29, 1121, 82)])
19:06:02 -             来自: main.py:388 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(285, 29, 1121, 82), (286, 29, 1121, 82)]', 'distance': '25'}
19:06:02 -             来自: main.py:388 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(285, 29, 1121, 82)])
19:06:02 -             来自: main.py:388 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(638, 31, 1121, 82), (639, 31, 1121, 82)]', 'distance': '25'}
19:06:02 -             来自: main.py:388 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(638, 31, 1121, 82)])
19:06:02 -         来自: main.py:724 - before_start                     | 函数返回            | __main__.find_my_cards                   | 返回值: 222AKJ8753
19:06:03 -         来自: main.py:677 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'continue', 'pos': '(545, 503, 170, 60)', 'click': 'True'}
19:06:03 -         来自: main.py:677 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:06:03 -         来自: main.py:680 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'reward', 'pos': '(521, 506, 199, 76)', 'click': 'True'}
19:06:03 -         来自: main.py:680 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:06:03 -         来自: main.py:683 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'start_game', 'pos': '(201, 260, 840, 74)', 'click': 'True'}
19:06:03 -         来自: main.py:683 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:06:03 -         来自: main.py:686 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'tuoguan', 'pos': '(485, 620, 269, 92)', 'click': 'True'}
19:06:03 -         来自: main.py:686 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:06:03 -         来自: main.py:689 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'sure', 'pos': '(560, 405, 256, 127)', 'click': 'True'}
19:06:03 -         来自: main.py:689 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:06:03 -         来自: main.py:692 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'tuijian', 'pos': '(648, 413, 194, 88)', 'click': 'True'}
19:06:03 -         来自: main.py:692 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:06:03 -         来自: main.py:695 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'good', 'pos': '(385, 532, 194, 78)', 'click': 'True'}
19:06:03 -         来自: main.py:695 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:06:03 -         来自: main.py:698 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'zhidao', 'pos': '(527, 482, 199, 83)', 'click': 'True'}
19:06:03 -         来自: main.py:698 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:06:03 -         来自: main.py:701 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'chacha', 'pos': '(920, 57, 266, 204)', 'click': 'True'}
19:06:03 -         来自: main.py:701 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:06:03 -         来自: main.py:704 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'quick_start', 'pos': '(831, 595, 219, 87)', 'click': 'True'}
19:06:03 -         来自: main.py:704 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
19:06:03 -         来自: main.py:724 - before_start                     | 调用函数            | __main__.find_my_cards                   | 参数: {'self': '<__main__.Worker object at 0x0000025998DA84C0>'}
19:06:03 -             来自: main.py:388 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(104, 25, 1121, 82), (103, 26, 1121, 82), (104, 26, 1121, 82), (105, 26, 1121, 82), (155, 26, 1121, 82), (103, 27, 1121, 82), (104, 27, 1121, 82), (105, 27, 1121, 82), (154, 27, 1121, 82), (155, 27, 1121, 82), (103, 28, 1121, 82), (104, 28, 1121, 82), (105, 28, 1121, 82), (155, 28, 1121, 82)]', 'distance': '25'}
19:06:03 -             来自: main.py:388 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(104, 25, 1121, 82), (155, 26, 1121, 82)])
19:06:03 -             来自: main.py:388 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(107, 27, 1121, 82), (157, 27, 1121, 82), (158, 27, 1121, 82), (106, 28, 1121, 82), (107, 28, 1121, 82), (157, 28, 1121, 82), (158, 28, 1121, 82), (107, 29, 1121, 82), (157, 29, 1121, 82), (158, 29, 1121, 82)]', 'distance': '25'}
19:06:03 -             来自: main.py:388 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(107, 27, 1121, 82), (157, 27, 1121, 82)])
19:06:03 -             来自: main.py:388 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(311, 29, 1121, 82), (208, 30, 1121, 82), (209, 30, 1121, 82), (210, 30, 1121, 82), (260, 30, 1121, 82), (310, 30, 1121, 82), (311, 30, 1121, 82), (312, 30, 1121, 82), (208, 31, 1121, 82), (209, 31, 1121, 82), (210, 31, 1121, 82), (259, 31, 1121, 82), (260, 31, 1121, 82), (309, 31, 1121, 82), (310, 31, 1121, 82), (311, 31, 1121, 82), (312, 31, 1121, 82), (208, 32, 1121, 82), (209, 32, 1121, 82), (210, 32, 1121, 82), (309, 32, 1121, 82), (310, 32, 1121, 82), (311, 32, 1121, 82)]', 'distance': '25'}
19:06:03 -             来自: main.py:388 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (3, [(311, 29, 1121, 82), (208, 30, 1121, 82), (260, 30, 1121, 82)])
19:06:03 -             来自: main.py:388 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(360, 27, 1121, 82), (361, 27, 1121, 82), (360, 28, 1121, 82), (361, 28, 1121, 82), (359, 29, 1121, 82), (360, 29, 1121, 82), (361, 29, 1121, 82), (411, 29, 1121, 82), (359, 30, 1121, 82), (360, 30, 1121, 82), (361, 30, 1121, 82), (410, 30, 1121, 82), (411, 30, 1121, 82), (359, 31, 1121, 82), (360, 31, 1121, 82), (361, 31, 1121, 82), (411, 31, 1121, 82), (360, 32, 1121, 82), (361, 32, 1121, 82)]', 'distance': '25'}
19:06:03 -             来自: main.py:388 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(360, 27, 1121, 82), (411, 29, 1121, 82)])
19:06:03 -             来自: main.py:388 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(512, 28, 1121, 82), (462, 29, 1121, 82), (512, 29, 1121, 82), (513, 29, 1121, 82), (461, 30, 1121, 82), (462, 30, 1121, 82), (511, 30, 1121, 82), (512, 30, 1121, 82), (513, 30, 1121, 82)]', 'distance': '25'}
19:06:03 -             来自: main.py:388 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(512, 28, 1121, 82), (462, 29, 1121, 82)])
19:06:03 -             来自: main.py:388 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(563, 28, 1121, 82), (562, 29, 1121, 82), (563, 29, 1121, 82), (564, 29, 1121, 82), (562, 30, 1121, 82), (563, 30, 1121, 82), (564, 30, 1121, 82), (562, 31, 1121, 82), (563, 31, 1121, 82), (564, 31, 1121, 82), (563, 32, 1121, 82)]', 'distance': '25'}
19:06:03 -             来自: main.py:388 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(563, 28, 1121, 82)])
19:06:03 -             来自: main.py:388 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(613, 31, 1121, 82), (614, 31, 1121, 82)]', 'distance': '25'}
19:06:03 -             来自: main.py:388 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (1, [(613, 31, 1121, 82)])
