01:57:45 - 来自: test_screenshot.py:19 - __init__               | 调用函数            | GameHelper.__init__                      | 参数: {'self': '<GameHelper.GameHelper object at 0x000001AA69D15CA0>'}
01:59:41 - 来自: test_screenshot.py:64 - take_screenshot        | 调用函数            | GameHelper.Screenshot                    | 参数: {'self': '<GameHelper.GameHelper object at 0x000001AA69D15CA0>', 'region': 'None'}
01:59:41 - 来自: test_screenshot.py:64 - take_screenshot        | 函数返回            | GameHelper.Screenshot                    | 返回值: <PIL.Image.Image image mode=RGB size=1280x720 at 0x1AA6A752A30>
01:59:47 - 来自: test_screenshot.py:64 - take_screenshot        | 调用函数            | GameHelper.Screenshot                    | 参数: {'self': '<GameHelper.GameHelper object at 0x000001AA69D15CA0>', 'region': 'None'}
01:59:47 - 来自: test_screenshot.py:64 - take_screenshot        | 函数返回            | GameHelper.Screenshot                    | 返回值: <PIL.Image.Image image mode=RGB size=1280x720 at 0x1AA6A752AF0>
02:00:10 - 来自: test_screenshot.py:64 - take_screenshot        | 调用函数            | GameHelper.Screenshot                    | 参数: {'self': '<GameHelper.GameHelper object at 0x000001AA69D15CA0>', 'region': 'None'}
02:00:10 - 来自: test_screenshot.py:64 - take_screenshot        | 函数返回            | GameHelper.Screenshot                    | 返回值: <PIL.Image.Image image mode=RGB size=1280x720 at 0x1AA6A752BB0>
02:00:16 - 来自: test_screenshot.py:64 - take_screenshot        | 调用函数            | GameHelper.Screenshot                    | 参数: {'self': '<GameHelper.GameHelper object at 0x000001AA69D15CA0>', 'region': 'None'}
02:00:16 - 来自: test_screenshot.py:64 - take_screenshot        | 函数返回            | GameHelper.Screenshot                    | 返回值: <PIL.Image.Image image mode=RGB size=1280x720 at 0x1AA6A752C70>
02:00:26 - 来自: test_screenshot.py:64 - take_screenshot        | 调用函数            | GameHelper.Screenshot                    | 参数: {'self': '<GameHelper.GameHelper object at 0x000001AA69D15CA0>', 'region': 'None'}
02:00:26 - 来自: test_screenshot.py:64 - take_screenshot        | 函数返回            | GameHelper.Screenshot                    | 返回值: <PIL.Image.Image image mode=RGB size=1280x720 at 0x1AA6A752D30>
02:00:32 - 来自: test_screenshot.py:64 - take_screenshot        | 调用函数            | GameHelper.Screenshot                    | 参数: {'self': '<GameHelper.GameHelper object at 0x000001AA69D15CA0>', 'region': 'None'}
02:00:32 - 来自: test_screenshot.py:64 - take_screenshot        | 函数返回            | GameHelper.Screenshot                    | 返回值: <PIL.Image.Image image mode=RGB size=1280x720 at 0x1AA6A752DF0>
