02:05:50 - 来自: test_screenshot.py:21 - __init__               | 调用函数            | GameHelper.__init__                      | 参数: {'self': '<GameHelper.GameHelper object at 0x000001DEF23E7C70>'}
02:09:01 - 来自: test_screenshot.py:84 - take_screenshot        | 调用函数            | GameHelper.Screenshot                    | 参数: {'self': '<GameHelper.GameHelper object at 0x000001DEF23E7C70>', 'region': 'None'}
02:09:01 - 来自: test_screenshot.py:84 - take_screenshot        | 函数返回            | GameHelper.Screenshot                    | 返回值: <PIL.Image.Image image mode=RGB size=1280x720 at 0x1DEF256F340>
02:09:07 - 来自: test_screenshot.py:84 - take_screenshot        | 调用函数            | GameHelper.Screenshot                    | 参数: {'self': '<GameHelper.GameHelper object at 0x000001DEF23E7C70>', 'region': 'None'}
02:09:07 - 来自: test_screenshot.py:84 - take_screenshot        | 函数返回            | GameHelper.Screenshot                    | 返回值: <PIL.Image.Image image mode=RGB size=1280x720 at 0x1DEF256F430>
02:09:29 - 来自: test_screenshot.py:84 - take_screenshot        | 调用函数            | GameHelper.Screenshot                    | 参数: {'self': '<GameHelper.GameHelper object at 0x000001DEF23E7C70>', 'region': 'None'}
02:09:29 - 来自: test_screenshot.py:84 - take_screenshot        | 函数返回            | GameHelper.Screenshot                    | 返回值: <PIL.Image.Image image mode=RGB size=1280x720 at 0x1DEF256F520>
02:09:45 - 来自: test_screenshot.py:84 - take_screenshot        | 调用函数            | GameHelper.Screenshot                    | 参数: {'self': '<GameHelper.GameHelper object at 0x000001DEF23E7C70>', 'region': 'None'}
02:09:45 - 来自: test_screenshot.py:84 - take_screenshot        | 函数返回            | GameHelper.Screenshot                    | 返回值: <PIL.Image.Image image mode=RGB size=1280x720 at 0x1DEF256F610>
02:10:00 - 来自: test_screenshot.py:84 - take_screenshot        | 调用函数            | GameHelper.Screenshot                    | 参数: {'self': '<GameHelper.GameHelper object at 0x000001DEF23E7C70>', 'region': 'None'}
02:10:00 - 来自: test_screenshot.py:84 - take_screenshot        | 函数返回            | GameHelper.Screenshot                    | 返回值: <PIL.Image.Image image mode=RGB size=1280x720 at 0x1DEF256F700>
02:10:03 - 来自: test_screenshot.py:84 - take_screenshot        | 调用函数            | GameHelper.Screenshot                    | 参数: {'self': '<GameHelper.GameHelper object at 0x000001DEF23E7C70>', 'region': 'None'}
02:10:03 - 来自: test_screenshot.py:84 - take_screenshot        | 函数返回            | GameHelper.Screenshot                    | 返回值: <PIL.Image.Image image mode=RGB size=1280x720 at 0x1DEF256F7F0>
02:10:41 - 来自: test_screenshot.py:84 - take_screenshot        | 调用函数            | GameHelper.Screenshot                    | 参数: {'self': '<GameHelper.GameHelper object at 0x000001DEF23E7C70>', 'region': 'None'}
02:10:41 - 来自: test_screenshot.py:84 - take_screenshot        | 函数返回            | GameHelper.Screenshot                    | 返回值: <PIL.Image.Image image mode=RGB size=1280x720 at 0x1DEF256F8E0>
02:11:44 - 来自: test_screenshot.py:84 - take_screenshot        | 调用函数            | GameHelper.Screenshot                    | 参数: {'self': '<GameHelper.GameHelper object at 0x000001DEF23E7C70>', 'region': 'None'}
02:11:44 - 来自: test_screenshot.py:84 - take_screenshot        | 函数返回            | GameHelper.Screenshot                    | 返回值: <PIL.Image.Image image mode=RGB size=1280x720 at 0x1DEF256F9D0>
02:12:34 - 来自: test_screenshot.py:84 - take_screenshot        | 调用函数            | GameHelper.Screenshot                    | 参数: {'self': '<GameHelper.GameHelper object at 0x000001DEF23E7C70>', 'region': 'None'}
02:12:34 - 来自: test_screenshot.py:84 - take_screenshot        | 函数返回            | GameHelper.Screenshot                    | 返回值: <PIL.Image.Image image mode=RGB size=1280x720 at 0x1DEF23E7CA0>
02:12:47 - 来自: test_screenshot.py:84 - take_screenshot        | 调用函数            | GameHelper.Screenshot                    | 参数: {'self': '<GameHelper.GameHelper object at 0x000001DEF23E7C70>', 'region': 'None'}
02:12:47 - 来自: test_screenshot.py:84 - take_screenshot        | 函数返回            | GameHelper.Screenshot                    | 返回值: <PIL.Image.Image image mode=RGB size=1280x720 at 0x1DEF2E23CD0>
02:13:34 - 来自: test_screenshot.py:84 - take_screenshot        | 调用函数            | GameHelper.Screenshot                    | 参数: {'self': '<GameHelper.GameHelper object at 0x000001DEF23E7C70>', 'region': 'None'}
02:13:34 - 来自: test_screenshot.py:84 - take_screenshot        | 函数返回            | GameHelper.Screenshot                    | 返回值: <PIL.Image.Image image mode=RGB size=1280x720 at 0x1DEF2E23EE0>
02:14:16 - 来自: test_screenshot.py:84 - take_screenshot        | 调用函数            | GameHelper.Screenshot                    | 参数: {'self': '<GameHelper.GameHelper object at 0x000001DEF23E7C70>', 'region': 'None'}
02:14:16 - 来自: test_screenshot.py:84 - take_screenshot        | 函数返回            | GameHelper.Screenshot                    | 返回值: <PIL.Image.Image image mode=RGB size=1280x720 at 0x1DEF2E23AF0>
02:14:18 - 来自: test_screenshot.py:84 - take_screenshot        | 调用函数            | GameHelper.Screenshot                    | 参数: {'self': '<GameHelper.GameHelper object at 0x000001DEF23E7C70>', 'region': 'None'}
02:14:19 - 来自: test_screenshot.py:84 - take_screenshot        | 函数返回            | GameHelper.Screenshot                    | 返回值: <PIL.Image.Image image mode=RGB size=1280x720 at 0x1DEF2E239A0>
02:15:47 - 来自: test_screenshot.py:84 - take_screenshot        | 调用函数            | GameHelper.Screenshot                    | 参数: {'self': '<GameHelper.GameHelper object at 0x000001DEF23E7C70>', 'region': 'None'}
02:15:47 - 来自: test_screenshot.py:84 - take_screenshot        | 函数返回            | GameHelper.Screenshot                    | 返回值: <PIL.Image.Image image mode=RGB size=1280x720 at 0x1DEF2E23850>
02:16:37 - 来自: test_screenshot.py:84 - take_screenshot        | 调用函数            | GameHelper.Screenshot                    | 参数: {'self': '<GameHelper.GameHelper object at 0x000001DEF23E7C70>', 'region': 'None'}
02:16:37 - 来自: test_screenshot.py:84 - take_screenshot        | 函数返回            | GameHelper.Screenshot                    | 返回值: <PIL.Image.Image image mode=RGB size=1280x720 at 0x1DEF2E235E0>
