15:01:20 - 来自: main.py:43 - <module>                          | 调用函数            | GameHelper.__init__                      | 参数: {'self': '<GameHelper.GameHelper object at 0x0000018C7B75A490>'}
15:01:27 -                 来自: main.py:317 - cards_info                       | 调用函数            | GameHelper.LocateAllOnImage              | 参数: {'image': '[[[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n ...\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]]', 'template': '[[[255 255 255]\n  [254 254 254]\n  [254 254 254]\n  ...\n  [253 254 255]\n  [251 253 254]\n  [251 253 253]]\n\n [[254 254 254]\n  [254 254 254]\n  [254 254 254]\n  ...\n  [244 244 255]\n  [252 252 255]\n  [251 253 254]]\n\n [[255 254 255]\n  [255 255 255]\n  [253 255 254]\n  ...\n  [226 226 255]\n  [250 252 255]\n  [253 254 255]]\n\n ...\n\n [[235 240 255]\n  [224 226 255]\n  [166 164 240]\n  ...\n  [237 242 255]\n  [243 248 249]\n  [247 249 249]]\n\n [[241 244 252]\n  [235 239 255]\n  [217 219 255]\n  ...\n  [241 242 255]\n  [248 249 253]\n  [251 248 250]]\n\n [[243 247 248]\n  [241 245 250]\n  [237 241 255]\n  ...\n  [247 246 255]\n  [249 245 250]\n  [252 247 249]]]', 'region': '(54, 481, 1121, 82)', 'confidence': '0.8'}
15:01:27 -                 来自: main.py:317 - cards_info                       | 函数返回            | GameHelper.LocateAllOnImage              | 返回值: []
15:01:27 -                 来自: main.py:317 - cards_info                       | 调用函数            | GameHelper.LocateAllOnImage              | 参数: {'image': '[[[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n ...\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]]', 'template': '[[[254 255 250]\n  [255 255 251]\n  [255 254 252]\n  ...\n  [255 254 249]\n  [255 252 251]\n  [255 253 254]]\n\n [[255 255 250]\n  [255 255 250]\n  [254 255 251]\n  ...\n  [255 254 248]\n  [255 253 250]\n  [255 253 253]]\n\n [[255 254 252]\n  [255 254 251]\n  [253 255 252]\n  ...\n  [254 254 250]\n  [254 254 249]\n  [254 255 252]]\n\n ...\n\n [[224 223 247]\n  [108  97 214]\n  [ 36  17 210]\n  ...\n  [ 85  64 199]\n  [200 187 244]\n  [234 228 254]]\n\n [[227 227 245]\n  [143 136 216]\n  [ 94  80 210]\n  ...\n  [132 117 208]\n  [213 202 245]\n  [236 231 251]]\n\n [[233 235 241]\n  [212 209 238]\n  [200 194 238]\n  ...\n  [212 205 239]\n  [231 226 247]\n  [238 235 245]]]', 'region': '(54, 481, 1121, 82)', 'confidence': '0.8'}
15:01:27 -                 来自: main.py:317 - cards_info                       | 函数返回            | GameHelper.LocateAllOnImage              | 返回值: []
15:01:27 -                 来自: main.py:317 - cards_info                       | 调用函数            | GameHelper.LocateAllOnImage              | 参数: {'image': '[[[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n ...\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]]', 'template': '[[[254 254 254]\n  [254 254 254]\n  [254 254 254]\n  ...\n  [254 254 254]\n  [254 254 254]\n  [254 254 254]]\n\n [[254 254 254]\n  [254 254 254]\n  [254 254 254]\n  ...\n  [254 254 254]\n  [254 254 254]\n  [254 254 254]]\n\n [[254 254 254]\n  [254 254 254]\n  [254 254 254]\n  ...\n  [254 254 254]\n  [254 254 254]\n  [254 254 254]]\n\n ...\n\n [[161 161 161]\n  [ 41  41  41]\n  [  2   2   2]\n  ...\n  [  0   0   0]\n  [109 109 109]\n  [215 215 215]]\n\n [[164 164 164]\n  [ 42  42  42]\n  [  2   2   2]\n  ...\n  [  1   1   1]\n  [109 109 109]\n  [215 215 215]]\n\n [[185 185 185]\n  [100 100 100]\n  [ 73  73  73]\n  ...\n  [ 71  71  71]\n  [147 147 147]\n  [222 222 222]]]', 'region': '(54, 481, 1121, 82)', 'confidence': '0.8'}
15:01:27 -                 来自: main.py:317 - cards_info                       | 函数返回            | GameHelper.LocateAllOnImage              | 返回值: []
15:01:27 -                 来自: main.py:317 - cards_info                       | 调用函数            | GameHelper.LocateAllOnImage              | 参数: {'image': '[[[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n ...\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]]', 'template': '[[[252 254 254]\n  [251 252 254]\n  [251 251 254]\n  ...\n  [253 252 255]\n  [254 253 255]\n  [254 253 255]]\n\n [[250 252 254]\n  [224 224 245]\n  [201 198 238]\n  ...\n  [203 196 233]\n  [236 229 247]\n  [252 248 254]]\n\n [[247 248 255]\n  [168 166 224]\n  [ 95  89 207]\n  ...\n  [ 95  79 188]\n  [197 184 230]\n  [248 238 253]]\n\n ...\n\n [[236 234 247]\n  [168 161 221]\n  [107  94 201]\n  ...\n  [ 99  94 184]\n  [184 182 229]\n  [229 227 249]]\n\n [[236 236 245]\n  [218 213 244]\n  [201 191 241]\n  ...\n  [199 196 237]\n  [224 223 246]\n  [237 236 247]]\n\n [[237 236 240]\n  [235 233 246]\n  [233 228 250]\n  ...\n  [231 230 248]\n  [234 234 244]\n  [237 236 240]]]', 'region': '(54, 481, 1121, 82)', 'confidence': '0.8'}
15:01:27 -                 来自: main.py:317 - cards_info                       | 函数返回            | GameHelper.LocateAllOnImage              | 返回值: []
15:01:27 -                 来自: main.py:317 - cards_info                       | 调用函数            | GameHelper.LocateAllOnImage              | 参数: {'image': '[[[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n ...\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]]', 'template': '[[[254 253 255]\n  [254 253 254]\n  [254 255 252]\n  ...\n  [255 255 253]\n  [255 255 253]\n  [255 255 253]]\n\n [[254 251 255]\n  [254 253 255]\n  [254 254 254]\n  ...\n  [255 254 252]\n  [255 254 252]\n  [255 255 252]]\n\n [[254 251 255]\n  [254 252 255]\n  [254 254 254]\n  ...\n  [255 253 252]\n  [255 253 252]\n  [254 254 252]]\n\n ...\n\n [[239 238 240]\n  [239 237 241]\n  [239 237 242]\n  ...\n  [ 99  89 212]\n  [167 160 235]\n  [226 223 246]]\n\n [[239 239 238]\n  [239 238 239]\n  [239 237 242]\n  ...\n  [177 174 247]\n  [206 203 250]\n  [232 231 246]]\n\n [[238 238 236]\n  [238 238 238]\n  [238 236 240]\n  ...\n  [221 226 246]\n  [229 232 245]\n  [237 237 242]]]', 'region': '(54, 481, 1121, 82)', 'confidence': '0.8'}
15:01:27 -                 来自: main.py:317 - cards_info                       | 函数返回            | GameHelper.LocateAllOnImage              | 返回值: []
15:01:27 -                 来自: main.py:317 - cards_info                       | 调用函数            | GameHelper.LocateAllOnImage              | 参数: {'image': '[[[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n ...\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]]', 'template': '[[[255 255 255]\n  [255 255 255]\n  [255 255 255]\n  ...\n  [254 254 254]\n  [253 253 253]\n  [254 254 254]]\n\n [[255 255 255]\n  [255 255 255]\n  [255 255 255]\n  ...\n  [196 196 196]\n  [203 203 203]\n  [230 230 230]]\n\n [[255 255 255]\n  [255 255 255]\n  [255 255 255]\n  ...\n  [ 63  63  63]\n  [ 86  86  86]\n  [176 176 176]]\n\n ...\n\n [[240 240 240]\n  [237 237 237]\n  [234 234 234]\n  ...\n  [239 239 239]\n  [240 240 240]\n  [240 240 240]]\n\n [[239 239 239]\n  [235 235 235]\n  [233 233 233]\n  ...\n  [239 239 239]\n  [240 240 240]\n  [240 240 240]]\n\n [[238 238 238]\n  [237 237 237]\n  [237 237 237]\n  ...\n  [239 239 239]\n  [239 239 239]\n  [239 239 239]]]', 'region': '(54, 481, 1121, 82)', 'confidence': '0.8'}
15:01:27 -                 来自: main.py:317 - cards_info                       | 函数返回            | GameHelper.LocateAllOnImage              | 返回值: []
15:01:27 -                 来自: main.py:317 - cards_info                       | 调用函数            | GameHelper.LocateAllOnImage              | 参数: {'image': '[[[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n ...\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]]', 'template': '[[[252 252 255]\n  [245 245 254]\n  [233 234 253]\n  ...\n  [253 254 253]\n  [252 253 254]\n  [252 253 255]]\n\n [[248 248 255]\n  [225 224 250]\n  [179 178 238]\n  ...\n  [253 254 252]\n  [251 252 254]\n  [250 252 255]]\n\n [[247 245 254]\n  [206 202 241]\n  [119 115 209]\n  ...\n  [252 253 253]\n  [251 252 254]\n  [251 251 255]]\n\n ...\n\n [[231 230 250]\n  [186 182 239]\n  [ 93  86 206]\n  ...\n  [237 236 244]\n  [240 239 236]\n  [240 239 234]]\n\n [[232 230 249]\n  [191 185 237]\n  [101  93 197]\n  ...\n  [240 237 242]\n  [239 240 236]\n  [238 241 234]]\n\n [[234 232 248]\n  [205 198 240]\n  [140 132 208]\n  ...\n  [239 236 243]\n  [235 239 238]\n  [234 240 236]]]', 'region': '(54, 481, 1121, 82)', 'confidence': '0.8'}
15:01:27 -                 来自: main.py:317 - cards_info                       | 函数返回            | GameHelper.LocateAllOnImage              | 返回值: []
15:01:27 -                 来自: main.py:317 - cards_info                       | 调用函数            | GameHelper.LocateAllOnImage              | 参数: {'image': '[[[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n ...\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]]', 'template': '[[[254 254 254]\n  [254 254 254]\n  [254 254 254]\n  ...\n  [254 254 254]\n  [254 254 254]\n  [254 254 254]]\n\n [[254 254 254]\n  [254 254 254]\n  [254 254 254]\n  ...\n  [254 254 254]\n  [254 254 254]\n  [254 254 254]]\n\n [[254 254 254]\n  [254 254 254]\n  [253 253 253]\n  ...\n  [254 254 254]\n  [254 254 254]\n  [254 254 254]]\n\n ...\n\n [[239 239 239]\n  [239 239 239]\n  [238 238 238]\n  ...\n  [239 239 239]\n  [240 240 240]\n  [240 240 240]]\n\n [[239 239 239]\n  [239 239 239]\n  [238 238 238]\n  ...\n  [240 240 240]\n  [239 239 239]\n  [239 239 239]]\n\n [[239 239 239]\n  [239 239 239]\n  [238 238 238]\n  ...\n  [239 239 239]\n  [239 239 239]\n  [239 239 239]]]', 'region': '(54, 481, 1121, 82)', 'confidence': '0.8'}
15:01:27 -                 来自: main.py:317 - cards_info                       | 函数返回            | GameHelper.LocateAllOnImage              | 返回值: []
